uber_pickup_zips,uber_rides_per_zip,uber_zip_proportion,green_taxi_pickup_zips_SHARED,green_taxi_rides_per_zip,green_taxi_zip_proportion,yellow_taxi_pickup_zips_SHARED,yellow_taxi_rides_per_zip,yellow_taxi_zip_proportion,taxi_COMBINED_rides_per_zip,taxi_COMBINED_zip_proportion,greater_zip_proportion_taxi_or_uber
11234,15,0.0008425546256,11234,18,0.0003920970658,11234,1,0.00002059392891,19,0.0002011326946,uber
11235,4,0.0002246812335,11235,194,0.004225935043,11235,4,0.00008237571564,198,0.002096014397,taxi
11236,8,0.000449362467,11236,21,0.0004574465768,#N/A,0,0,21,0.0002223045572,uber
11237,50,0.002808515419,11237,178,0.003877404317,11237,11,0.000226533218,189,0.002000741015,uber
11238,145,0.008144694714,11238,635,0.01383231315,11238,37,0.0007619753697,672,0.007113745832,uber
11239,2,0.0001123406167,11239,11,0.0002396148735,#N/A,0,0,11,0.0001164452443,taxi
11249,201,0.01129023198,11249,2107,0.04589713987,11249,117,0.002409489682,2224,0.02354311121,taxi
11251,1,0.00005617030837,11251,10,0.0002178317032,11251,1,0.00002059392891,11,0.0001164452443,taxi
11252,1,0.00005617030837,11252,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
11354,15,0.0008425546256,11354,617,0.01344021609,11354,8,0.0001647514313,625,0.006616207061,taxi
11355,4,0.0002246812335,11355,32,0.0006970614503,11355,1,0.00002059392891,33,0.0003493357328,taxi
11356,5,0.0002808515419,11356,2,0.00004356634065,#N/A,0,0,2,0.00002117186259,uber
11357,1,0.00005617030837,11357,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
11358,1,0.00005617030837,11358,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
11360,3,0.0001685109251,11360,2,0.00004356634065,#N/A,0,0,2,0.00002117186259,uber
11361,2,0.0001123406167,11361,13,0.0002831812142,#N/A,0,0,13,0.0001376171069,taxi
11362,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11364,1,0.00005617030837,11364,3,0.00006534951097,#N/A,0,0,3,0.00003175779389,uber
11365,1,0.00005617030837,11365,12,0.0002613980439,11365,1,0.00002059392891,13,0.0001376171069,taxi
11367,7,0.0003931921586,11367,18,0.0003920970658,#N/A,0,0,18,0.0001905467634,uber
11368,18,0.001011065551,11368,431,0.009388546409,11368,9,0.0001853453602,440,0.004657809771,taxi
11369,94,0.005280008987,11369,115,0.002505064587,11369,326,0.006713620825,441,0.004668395702,uber
11370,11,0.0006178733921,11370,197,0.004291284554,11370,17,0.0003500967915,214,0.002265389298,taxi
11371,97,0.005448519912,11371,13,0.0002831812142,11371,492,0.01013221302,505,0.005345895305,uber
11372,4,0.0002246812335,11372,1592,0.03467880715,11372,11,0.000226533218,1603,0.01696924787,taxi
11373,8,0.000449362467,11373,1623,0.03535408543,11373,21,0.0004324725071,1644,0.01740327105,taxi
11374,8,0.000449362467,11374,342,0.00744984425,11374,3,0.00006178178673,345,0.003652146298,taxi
11375,14,0.0007863843172,11375,1006,0.02191386934,11375,9,0.0001853453602,1015,0.01074472027,taxi
11377,9,0.0005055327754,11377,1011,0.0220227852,11377,40,0.0008237571564,1051,0.01112581379,taxi
11378,5,0.0002808515419,11378,57,0.001241640708,11378,3,0.00006178178673,60,0.0006351558778,taxi
11379,4,0.0002246812335,11379,18,0.0003920970658,11379,1,0.00002059392891,19,0.0002011326946,uber
11385,18,0.001011065551,11385,29,0.0006317119394,11385,3,0.00006178178673,32,0.0003387498015,uber
11412,4,0.0002246812335,11412,1,0.00002178317032,#N/A,0,0,1,0.0000105859313,uber
11413,1,0.00005617030837,#N/A,0,0,#N/A,0,0,0,0,uber
11414,2,0.0001123406167,#N/A,0,0,#N/A,0,0,0,0,uber
11415,1,0.00005617030837,11415,281,0.006121070861,11415,7,0.0001441575024,288,0.003048748214,taxi
11416,3,0.0001685109251,11416,4,0.00008713268129,#N/A,0,0,4,0.00004234372519,uber
11417,3,0.0001685109251,11417,8,0.0001742653626,11417,1,0.00002059392891,9,0.00009527338168,uber
11418,2,0.0001123406167,11418,49,0.001067375346,11418,3,0.00006178178673,52,0.0005504684275,taxi
11419,3,0.0001685109251,11419,9,0.0001960485329,11419,2,0.00004118785782,11,0.0001164452443,uber
11420,5,0.0002808515419,11420,52,0.001132724857,11420,2,0.00004118785782,54,0.0005716402901,taxi
11421,2,0.0001123406167,11421,8,0.0001742653626,#N/A,0,0,8,0.00008468745038,uber
11422,4,0.0002246812335,#N/A,0,0,11422,3,0.00006178178673,3,0.00003175779389,uber
11423,1,0.00005617030837,11423,3,0.00006534951097,#N/A,0,0,3,0.00003175779389,uber
11428,1,0.00005617030837,11428,1,0.00002178317032,11428,1,0.00002059392891,2,0.00002117186259,uber
11430,301,0.01690726282,11430,13,0.0002831812142,11430,736,0.01515713168,749,0.007928862542,uber
11432,8,0.000449362467,11432,75,0.001633737774,11432,2,0.00004118785782,77,0.0008151167099,taxi
11433,1,0.00005617030837,11433,60,0.001306990219,#N/A,0,0,60,0.0006351558778,taxi
